Hospital Name,Address,CITY,STATE,PPN / NON PPN
"CKRD Memorial Hospital And Research 
Institute","E-4, Subhash Marg, Indira Nagar,nil",JHUNJHUNU,RAJASTHAN,NON PPN
"Goyal Hospital And Research Centre Pvt 
Ltd","961/3,Residency Road,Opp Rotary Hall,JodhpurNIL",JODHPUR,RAJASTHAN,NON PPN
Kamla Nagar Hospital,"A, Pal Link Road,JodhpurNear K.N. Chest Hospital",JODHPUR,RAJASTHAN,NON PPN
Vasundhara Hospital,"Secter 11,Chopasani Housing Board,Jodhpur,NIL",JODHPUR,RAJASTHAN,NON PPN
Asg Hospital Pvt Ltd Paota,"2a Section 7 Extn, New Power House Road,7-8, 4th 
Floor,Mandore Road-PaotaNIL",JODHPUR,RAJASTHAN,NON PPN
Asg Hospital Pvt Ltd,"A-322,Near Hanuwant School,,Shastri Nagar,NIL",JODHPUR,RAJASTHAN,NON PPN
Asg Hospital Pvt Ltd Basni Jodhpur,"Plot No.136-B Sector-A Saraswati Nagar,,Basni Jodhpur",Jodhpur,RAJASTHAN,NON PPN
Asg Hospital Pvt Ltd,"Plot No.1, Shyam Nagar,,,Pal Link Road,JodhpurNIL",JODHPUR,RAJASTHAN,NON PPN
"Balaji Hospital -A Unit Of 25 Wellness 
And Research Centre Pvt Ltd","100, Megh Nagar ,Near Ashok Udhyan Pal roadNIL",JODHPUR,RAJASTHAN,NON PPN
"Kailash Hospital Trauma And Research 
Center","No: 418-419, Road No : 12 ,,Jaipur Road, Mohan Nagar - B, 
B.J.S Colony,Kalvi Pyaunil",JODHPUR,RAJASTHAN,NON PPN
Krishna Super Speciality Hospital,"10, Shri Krishna Nagar, Nehar roadNIL",JODHPUR,RAJASTHAN,NON PPN
Medipulse Hospital,"E-4, Mta, Basni Phase 2nd, Opp Aiims Hospital,JodhpurNIL",JODHPUR,RAJASTHAN,NON PPN
"Dhanwantri Hospital And Research 
Centre","21/22, Rawat Nagar, Kheme Ka Kunwa Pal roadnil",JODHPUR,RAJASTHAN,NON PPN
Preksha Hospital,"4, Main Pal Road, nil",JODHPUR,RAJASTHAN,NON PPN
Global Care Hospital,"3/4 A(1), Polo First, Fort Road,Paota,Near Ship House,",JODHPUR,RAJASTHAN,NON PPN
Chanddni Hospital,"3-L-1,2, Talwandi, Kota,,NIL",KOTA,RAJASTHAN,NON PPN
Jain Surgical Hospital,"559-A, Shrinathpuram, Sector-A,Opp. Bank of Baroda",KOTA,RAJASTHAN,NON PPN
Jaiswal Hospital And Neuro Institute,"1 - K A - 28,Vigyan Nagar,Kotajhalawar road",KOTA,RAJASTHAN,NON PPN
Kota Trauma Hospital,"1C-2C, Shivaji market,Kota,Opp. Chambal Garden",KOTA,RAJASTHAN,NON PPN
Maitri Hospital.,"2-A Talwandi Scheme,,I.Lchowraha,TalwandiOpp. 
Commerce College,",KOTA,RAJASTHAN,NON PPN
Mewar Hospital Pvt Ltd(Kota),"2-H-1,Vigyan Nagar,NIL",KOTA,RAJASTHAN,NON PPN
SK Ramchandani Orthopaedic Hospital,"44-A, Talwandi,,Commerce College Road,NIL",KOTA,RAJASTHAN,NON PPN
"S.N.Pareek Memorial Hospital And 
Research Centre Sansthan","3, Basant Vihar,KotaNIL",KOTA,RAJASTHAN,NON PPN
"Sudha Hospital And Medical Research 
Center Pvt Ltd","11-A, Talwandi,Jhalawar Road,,KotaNIL",KOTA,RAJASTHAN,NON PPN
"Radhakrishana Criticalcare And General 
Hospital","1-C-12, Sheela Choudhary Road,SFS Talwandi",KOTA,RAJASTHAN,NON PPN
"Shanti Hospital Mother Child Ans 
Multispeciality","C-44,45,Shreenath Puramnil",KOTA,RAJASTHAN,NON PPN
Yadav Hospital,"7-A-4,Mahaveer Nagar,Near Teen Batti Circle,",KOTA,RAJASTHAN,NON PPN
Kinker Hospital And Research Centre,"6-A, Talwandi,nil",KOTA,RAJASTHAN,NON PPN
Asg Hospital Pvt Ltd (Nagaur),"House No-30 Sainik Colony,,Near Sugan Singh Circle,Nagaur",Nagaur,RAJASTHAN,NON PPN
"Shri Ram Hospital(Shri Ram Super 
Speciality Surgical Centre Pvt Ltd)","B-18,Veer Durgadas Nager,Opp Rotary Club.,NIL",PALI,RAJASTHAN,NON PPN
Garg Hospital And Research Centre,"Bheru Darwaza,nil",SAWAI MADHOPUR,RAJASTHAN,NON PPN
Dhayal Hospital Research Centre (Sikar),"National Highway -11,,Near Math Mandir,Reengus,NIL",SIKAR,RAJASTHAN,NON PPN
Gurukripa Hospital,"Gurukripa Circle, Jyoti Nagar,Piprali Road,nil",SIKAR,RAJASTHAN,NON PPN
Asg Hospital Pvt Ltd (Ganganagar ),"House No.2-F-8 ,,Jawahar Nagar,Sri Ganganagar",Sriganganagar,RAJASTHAN,NON PPN
Shri Om Sai Multi Speciality Hospital,"Sector 17 Market Opp. Andh Vidyalaya ,,Hanuman 
Road,,SriganganagarNIL",SRIGANGANAGAR,RAJASTHAN,NON PPN
"Medanta S N Superspeciality Hospital Pvt 
Ltd","2ML, Suratgarh-hanumangarh Bypass,Via-Chahal Chowk",SRIGANGANAGAR,RAJASTHAN,NON PPN
Agrawal Hospital,"Park Plaza City,TonkS.M. Road,",TONK,RAJASTHAN,NON PPN
Asg Hospital Pvt Ltd (Udaipur),"# 7c-2 Meera Marg Opp Rsmm Office,Near Meera Bai Girls 
College,MadhubanNIL",UDAIPUR,RAJASTHAN,NON PPN
Paras Jk Hospital Udaipur,"Plot No. 1, Shobhaghpura, 100 Feet Road,,Near Chawala'S 
Restaurant,UdaipurNIL",UDAIPUR,RAJASTHAN,NON PPN
Gbh American Hospital,"101, Kothi Bagh,,Bhatt Ji Ki Bari,UdaipurNIL",UDAIPUR,RAJASTHAN,NON PPN
Mewar Hospital Pvt Ltd (Udaipur),"Priydarshani Nagar,BedlaNIL",UDAIPUR,RAJASTHAN,NON PPN
Pacific Medical College And Hospital,"Bhilon Ka Bedla, Pratap Pura, N.H.27, Teh-Girwa",UDAIPUR,RAJASTHAN,NON PPN
Shantiraj Hospital Pvt Ltd,"699, Arjun Nagar, Sector-11, Hiran Magri,Gawri Chowk",UDAIPUR,RAJASTHAN,NON PPN
"Dr Chaudhary Hospital And Research 
Centre Pvt Ltd","473, Sec-4, Hiran Magri,Udaipur-313002Narayan Sewa 
Sansthan Road",UDAIPUR,RAJASTHAN,NON PPN
Siddhi Vinayak Hospital,"BA 365, Sec-6,Jhadav Nursery,nil",UDAIPUR,RAJASTHAN,NON PPN
Shriram Spine Hospital,"3, Madhuban,nil",UDAIPUR,RAJASTHAN,NON PPN
Sai Fertility Centre And Hospital,"No.43, Old No.21, Devarajanar Street,Vedachala 
Nagar,Dist.kanchipuram,opp To State Bank Of India",CHENGALPATTU,TAMILNADU,NON PPN
Deepam Hospital Pvt Ltd,"327, MUTHRANGAM ROAD, WEST TAMBARAM ,Chennai",CHENNAI,TAMILNADU,PPN
Venkataeswara Hospitals,"36A, CHAMIERS ROAD, NANDANAMNIL",CHENNAI,TAMILNADU,PPN
Aditya Hospital Chennai,"NO-7, BARNABY ROAD, KILPAUKNIL",CHENNAI,TAMILNADU,PPN
Sri Venkateshwara C M Hospital,"NO-1, 47th No: 1, 5th Main Road, Nanganallur",CHENNAI,TAMILNADU,PPN
Miot Hospitals Ltd,"4/112,MOUNT POONAMALLEE ROAD, 
MANAPAKKAM,CHENNAI-600089NIL",CHENNAI,TAMILNADU,PPN
Anjakha Hospital,"No. 23, Medavakkam Main Road, Madipakkam, 
Kancheepuram , ChennaiChennai",CHENNAI,TAMILNADU,PPN
Apollo Hospitals And Group Hospital,"#21, Greams Lane, Off Greams Road,",CHENNAI,TAMILNADU,PPN
Sakthi Hospital And Research Centre,"175, BIG STREET, TRIPLICANE, CHENNAINIL",CHENNAI,TAMILNADU,PPN
"Christudas Orthopadeic Speciality 
Hospital","No. 9, Duraiswamy Nagar, IAF Road, Near Madras Christian 
College, East Tambaram, Chennai, Tamil Nadu 
600059Chennai",CHENNAI,TAMILNADU,PPN
Apollo Specialty Hospitals,"320, PADMA COMPLEX,TEYNAMPET,ANNA SALAI,CHENNAI, 
TAMILNADUNIL",CHENNAI,TAMILNADU,NON PPN
"Vasantha Subramanian Hospital India Pvt 
Ltd(Kilpauk)","815/306, Ph Road, Kilpauk,NIL",CHENNAI,TAMILNADU,PPN
"KKR ENT Hospital And Research Institute 
Pvt Ltd","274, Poonamallee High Road , Chennai Chennai",CHENNAI,TAMILNADU,PPN
Av Hospitals,"No.97 & 172 Solaiappan St,,,Old Washermanpetnil",CHENNAI,TAMILNADU,PPN
Sen Hospital,"New No. 51, Old No. 18, Bunder Garden St, Bunder Garden, 
Perambur, Chennai, Tamil Nadu 600011Perambur",CHENNAI,TAMILNADU,PPN
Rathi Med Speciality Hospital,"Q– 102, 3rd Avenue, Anna Nagar, Chennai, Tamil Nadu 
600040Chennai",CHENNAI,TAMILNADU,PPN
Vasanthram Hospital,"No-7,Old No-3,Varadappan Street, West Mambalam, 
Chennai-600033Chennai",CHENNAI,TAMILNADU,PPN
Aakash Hospital Chennai,"#210/2005, 395, TH RoadChennai",CHENNAI,TAMILNADU,PPN
Chennai National Hospital,"12, Jaffar Serang Street, 2nd Line Beach Parrys, 
ChennaiChennai",CHENNAI,TAMILNADU,NON PPN
Amma Hospital,"No. 1, Sowrashtra Nagar,,7th Street,,ChoolaimeduNIL",CHENNAI,TAMILNADU,PPN
"Amrit Hospital ( Amrit Medicare Private 
Limite )","New No. 310, Old No 362,Sowlarpet,,Mint Street",Chennai,TAMILNADU,PPN
Anand Hospital,"Anand Hospital,201, Kamaraj Salai,Manali",Chennai,TAMILNADU,PPN
Ann Hospital ( Indira Nagar ),"81-85 Annai Therasa Street,Indira Nagar 
,,ValasaravakkamNIL",CHENNAI,TAMILNADU,PPN
Apollo Children'S Hospital,"15, Shafi Mohammed Road, Thousand Lights West",CHENNAI,TAMILNADU,PPN
Apollo First Med Hospitals,"154,P.H. Road, KilpaukNIL",CHENNAI,TAMILNADU,PPN
Apollo Hospital (Aynampakkam),"No 64,Vanagaram,Ambattur Main Road,AyanambakkamNIL",CHENNAI,TAMILNADU,PPN
Apollo Hospitals (Tondiarpet),"645 & 646,,T.H. Road,Tondiarpet",Chennai,TAMILNADU,PPN
Apollo Hospitals City Centre,"134, Mint Street,,Opposite Ramar Temple,Sowcarpet",Chennai,TAMILNADU,PPN
"Apollo Speciality Hospitals Omr 
Perungudi","# 05/639,,Old Mahabalipuram Road,",CHENNAI,TAMILNADU,PPN
"Apollo Spectra Hospitals (Apollo 
Speciality Hospitals Private Ltd) (Satyade","No.41/42 53/54 Satyadev Avenue,Mrc Nagar Ra Puram,NIL",CHENNAI,TAMILNADU,PPN
Apollo Womens Hospital Credile Royal,"No-16, Mohammed Shaffi Road, Next To Apollo Children 
Hospitals, Greams Road",CHENNAI,TAMILNADU,PPN
Athipathi Hospital And Research Centre,"No. 4, 100 Ft Rood,,Tansinagar,,Velachery",Chennai,TAMILNADU,PPN
BM Orthopaedic Hospital,"3/157, M.T.H.Road,AmbatturNIL",CHENNAI,TAMILNADU,NON PPN
Be Well Hospitals T Nagar,"#5/A, Vijaya Raghava Road, T Nagarnil",CHENNAI,TAMILNADU,PPN
Be Well Speciality Hospitals,"#15, Bank Street, Kilpauknil",CHENNAI,TAMILNADU,PPN
"Bharani Hospital (The Specialities 
Healthcare)","22, Arcot Road,,Saligramam,Chennai",Chennai,TAMILNADU,PPN
Billroth Hospitals,"43, Lakshmi Talkies Road, NIL",CHENNAI,TAMILNADU,PPN
Billroth Hospitals(Chen),"#52, 2nd Main Road,,Rajaannamalaipuram,",Chennai,TAMILNADU,PPN
Bss Hospital,"# 200 R.K Mutt Road,,Mandaveli",CHENNAI,TAMILNADU,PPN
Chennai Krishna Hospital,"297, Gst Road,Near Mit Flyover,Chrompet",Chennai,TAMILNADU,PPN
"Chennai Meenakshi Multi Speciality 
Hospital Ltd.","Old No. 148, New No. 72,Luz Church Road,,Mylapore",Chennai,TAMILNADU,PPN
Chettinad Super Specilality Hospital,"# Chettinad Health City,,Rajiv Gandhi Salai,,Kelambakkam",Chennai,TAMILNADU,PPN
Sugam Hospital,"No.107a, G.S.T Road, Chromepet,No.107a, G.S.T Road, 
Chromepet,NIL",CHENNAI,TAMILNADU,PPN
"Hariharan Diabetes And Heart Care 
Hospitals","24 & 26,29th Street,NanganallurNIL",CHENNAI,TAMILNADU,PPN
Dr A Ramachandrans Diabetes Hospital,"110, Anna Salai, Opp To Itc Gr,Andchola, Guindy,",CHENNAI,TAMILNADU,PPN
Gunasekaran Hospitals,"No.1, Crescent Park Street,T.Nagar,T NagarOpp. to Hotel 
Raj Palace",CHENNAI,TAMILNADU,PPN
"Mehta Multispeciality Hospitals India Pvt. 
Ltd.","No 2,Mc Nichols Road,3rd Lane Chetpet,,ChennaiNIL",CHENNAI,TAMILNADU,PPN
Faith Multispecialty Hospital,"No33/17, Sannathi Street,,,Villivakam",Chennai,TAMILNADU,PPN
Fortis Malar Hospitals Ltd,"52, 1st Main Road,,Near Adyar Main Bridge,,Gandhi 
Nagar,Adyar",CHENNAI,TAMILNADU,PPN
G. R. Hospital,"43075,Citi Link Road,Ngo Colony Adambakkam,",Chennai,TAMILNADU,PPN
Gajanan Hospital Pvt Ltd(A.G.Hospital),"29, Kakkan Street,Tambaram West,Chennai",Chennai,TAMILNADU,PPN
Ganga Hospital (Chennai),"No,21/7b,Thandavaryan Street,(Model School 
Road),,Washermenpet",Chennai,TAMILNADU,PPN
Girishwari Hospital Pvt Ltd,"19, K.B. Dasan Road,TeyanmpetNear SIET College,",CHENNAI,TAMILNADU,PPN
Hande Hospital,"# 44, Lakshmi Talkies Road,,Shenoy Nagar,,Chennai",Chennai,TAMILNADU,PPN
Helios Hospital,"39, 7th Cross Street, Rajalakshmi Nagar,VelacheryNIL",CHENNAI,TAMILNADU,PPN
Hiba Hospital,"Old No-25 ( New No:53),Big Street Near Hindu Higher 
Secondary School,",Chennai,TAMILNADU,PPN
Hindu Mission Hospital,"103, G.S.T, Road,,Tambaram West,ChennaiNIL",CHENNAI,TAMILNADU,PPN
IK Hospital,"No.2/1911,J-Block,,15th Main Road,Annanagar,NIL",CHENNAI,TAMILNADU,PPN
Jv Hospital,"Number 31,,Railway Border Road,,KodambakkamNIL",CHENNAI,TAMILNADU,PPN
K. J. Hospital Pvt Ltd,"New 182,,Poonamallee High Road,Chennai",Chennai,TAMILNADU,PPN
Kanaga Hospital,"New No:7/131,(Old No:3/225) Kundrathur Main Road 
,,KovoorNIL",CHENNAI,TAMILNADU,PPN
Karthic Hospital (Thiruvottiyur),"# 727 To 730, T.H Road,Tsr 
Nagar,,Thiruvottiyur.,Thiruvottiyur.",Chennai,TAMILNADU,PPN
Kasturi Hospital (Chennai),"No. 119, Shannugan Road,,West Tambaran,ChennaiNIL",CHENNAI,TAMILNADU,PPN
Kauvery Hospital,"No 199/90, Mbc Towers",CHENNAI,TAMILNADU,PPN
Kumaran Hospital Pvt Ltd,"Number 214, E.V.R. Periyar Salai,P.H.Road, Kilpauk,Next To 
Sangam Theatre,,Kilpauk",CHENNAI,TAMILNADU,PPN
Lake View Hospital (Chennai),"100a,Perambur,Red Hills Road,Kalpalayam",Chennai,TAMILNADU,PPN
Laksha Hospitals,"No-15,,P.S Sivasamy Salai,,Mylapore",Chennai,TAMILNADU,PPN
Lakshmi Hospital,"47,Govindan Road,Pincode-600033,,",Chennai,TAMILNADU,PPN
Laser And Laproscopic Hospital,"New No.121,Gn Chetty Road,,Opp Digam Show Room,T 
Nagar,T Nagar",Chennai,TAMILNADU,PPN
MR Hospital,"No. 20, Govindan Street, Ayyav,Oo Colony, Aminjikarai, 
Chennai,NIL",CHENNAI,TAMILNADU,PPN
M.N. Orthopaedic Hospital,"0ld 18,Bank Street,Kilpak,",Chennai,TAMILNADU,PPN
Mahalakshmi Hospital,"No. 37, M.T.H. Road,,Near Rakki Theatre,,Ambattur,NIL",CHENNAI,TAMILNADU,NON PPN
Mohan Hospital (Chennai),"Cp- 50 , Razack Garden,Main Road, 
Arumbakkam,Arumbakkam",Chennai,TAMILNADU,PPN
Nanthini Hospital,"# 168, Chandrasekaran Avenue, It Highway ,,,Omr, 
Thoraipakkam",Chennai,TAMILNADU,PPN
Narayanaa Hospital,"# 14,Tana Street,Purasawalkam,",Chennai,TAMILNADU,PPN
Nichanis Hospital,"#10, Arthoon Road, Royapuramnil",CHENNAI,TAMILNADU,PPN
Noble Hospital,"4,Audiapa Street,Purusawalkam,Alagappa Road,Opp Lady 
MCTM School,",CHENNAI,TAMILNADU,PPN
Pallava Hospital Ltd.,"#19a First Avenue,Near Ashok Nagar,",Chennai,TAMILNADU,PPN
Parvathy Ortho Hospital Pvt Ltd,"241, G S T Road, Near M I T Gate, Chronepet,",CHENNAI,TAMILNADU,PPN
Pavithra Hospitals Pvt Ltd,"No 7,Erukkenchery,Kodungaiyur,Ethiraj Swamy SalaiNIL",CHENNAI,TAMILNADU,PPN
Ponmalligai Hospital,"# 683/5 Mahalingam Street Madipakkam,Ist Cross 
Street,Kakkanji Nagar Near Ngo Colony Adambakkam Bus 
Stop,",Chennai,TAMILNADU,PPN
Prime Indian Hospitals Pvt Ltd,"1051, Poonamallee High Road,,,Arumbakkam",Chennai,TAMILNADU,PPN
Rakshith Hospital,"153 Arcot Road,,Valasara Vakkam,NIL",CHENNAI,TAMILNADU,PPN
Right Hospitals,"#1prof.Subramaniam Street , Kilpauk,,",Chennai,TAMILNADU,PPN
Rigid Hospital Pvt Ltd,"No.47/3, New Avadi Road,,Near Panchayappa'S 
College,,Kilpauknil",CHENNAI,TAMILNADU,PPN
Rotary Central Margaret Sidney Hospital,"No 13, 7th Street,Nanganallur,NIL",CHENNAI,TAMILNADU,PPN
"Rsr'S Trinity Acute Care 
Hospital(Chennai)","33, Desikan Road,Mylapore,Mylapore",Chennai,TAMILNADU,PPN
S P Hospital,"No. I I, East Vellaear St.,,Adambakkam,Chennai",Chennai,TAMILNADU,PPN
Sai Ortho Care Hospitals P Ltd,"466,Sadulla Street Near Ttd,,",Chennai,TAMILNADU,PPN
"Sankara Kidney Hospital ( A Unit Of 
Satyanorayana Medical And Research 
Trus","No.235/236, English Electric Nagar.,Zamin Pallavaram,Off 
Radial Road,,Opp To Shell Petrol Bunk",Chennai,TAMILNADU,PPN
Sbs Hospital-Chennai,"439 5th Main Road,Natesan Nagar,Virugambakkamnear 
Annai Mahalsai Nagar Bus Stand,",Chennai,TAMILNADU,PPN
"Shanmugam Multi Speciality Hospital 
(SMS)","No. 139/71,East Madha Church Stree,Near Royapuram 
Bridge,RoyapuramNIL",CHENNAI,TAMILNADU,PPN
Shivasunder Hospital,"28, (Old. No. 9) 1st Cross Steet,Shastri Nagar,Adyar",Chennai,TAMILNADU,NON PPN
Sibi Hospital,"139. 3rd Main Road Srinivasa Nagar,Madipakkam Koot 
Road,Madipakkam,",Chennai,TAMILNADU,PPN
Sinus And Nose Hospital,"# 35 A Santhome High Road,,,Mylapore",Chennai,TAMILNADU,PPN
Sooriya Hospital,"1, Arunachalam Road,,Saligramam,Chennai",Chennai,TAMILNADU,PPN
"Soundarapandian Bone And Joint 
Hospital And Research Institute Pvt Ltd","A A 16, 3rd Main Road, Aa-16, 3rd Main Road,Annagar Anna 
Nagar,,ChennaiNIL",CHENNAI,TAMILNADU,PPN
Sri Balaji Hospital,"Old No:36, New No: 77, Bricklin 
Road,,Purasawalkam,Chennai",CHENNAI,TAMILNADU,PPN
Sri Ranga Hospital,"No. 4/30,,Devanathan Road,Mandaveli",Chennai,TAMILNADU,PPN
Srm Speciality Hospital,"#67/79 Bharathi Salai,,,Ramapuram,,",Chennai,TAMILNADU,PPN
St.Thomas Hospital,"St.Thomas Mount,,Chennai",Chennai,TAMILNADU,PPN
Sudha Hospital,"# 51/18 .Adam Sahib Street,Pumping Station 
Road,,Royapuram,",Chennai,TAMILNADU,PPN
Sugam Hospital ( Thiruvottiyur Market),"349 T H Road,Thiruvottiyur,Thiruvottiyur Market",Chennai,TAMILNADU,PPN
Vadapalani Multi Speciality Hospital,"# 360 Vadapalani Andavar Koli Street,,,No.33, Vadapalani 
Andavar Koil",Chennai,TAMILNADU,PPN
"Vasantha Subramanian Hospital India Pvt 
Ltd(Chetpet)","No - 13 , East Spurtank Road,Opposite To World 
Univwersity,Palimar HotelNIL",CHENNAI,TAMILNADU,PPN
Vasanthi Orthopaedic Hospital,"Cp- 50. Razack Garden, Main Ro,Ad, Arumbakkam, 
Chennai,NIL",CHENNAI,TAMILNADU,PPN
Be Well Hospitals(Anna Nagar),"No. 106, Jawaharlal Nehru Salai,,,Thirumangalam,Anna 
Nagar,",CHENNAI,TAMILNADU,PPN
Velachery Ks Hospital,"No.14a, 10th Cross Street,Velachary A.G.S Colony.,",Chennai,TAMILNADU,PPN
Vignesh Hospital,"35/2, Poothapedu Main Road,,Vengadeswara Nagar,,Porur,",Chennai,TAMILNADU,PPN
Vijaya Hospital,"#434, Near Vadapalani Bus Stand, Nsk Salai, Vadapalani,",CHENNAI,TAMILNADU,PPN
"Xcellent Care Super-Speciality Hospital 
(P) Ltd.","No 7/14 Th , 7th Cross Street ,,Rajalakshm, I100 Feet 
Velachery Bye Pass Road,Velachery",Chennai,TAMILNADU,PPN
BM Hospital,"36, 5th Main Road, Thillai Ganga Nagar, Nanganallur, 
Chennai, Tamil Nadu 600061Chennai",CHENNAI,TAMILNADU,PPN
GG Super Speciality Hospitals,"No-21, Dr Thiru Murthy Nagar Main Road Chennai",CHENNAI,TAMILNADU,NON PPN
Prashanth Superspeciality Hospital,"No-36 & 36-A, Velachery Main Road, Velachery",CHENNAI,TAMILNADU,PPN
