Hospital Name,Address,CITY,STATE,PPN / NON PPN
Eva Hospital,"40, New Lajpat Nagar,,Pakhawal Road, Ludhiana,Pakhowal 
RoadNIL",LUDHIANA,PUNJAB,PPN
"Global Heart And Super Speciality 
Hospital","Nr Octroi Post,,Fze Road,NIL",LUDHIANA,PUNJAB,PPN
Hope Hospital,"28-B,Tagor Nagar,Civil Lines,,Opp Hero Dmc Heart,Insti. 
Civil LinesNIL",LUDHIANA,PUNJAB,PPN
Kalra Hospital,"Chowk Baba Than Singh,,Shingaar Cinema Road,NIL",LUDHIANA,PUNJAB,PPN
Kalyan Hospital(Ludhiana),"Div No. 3 Chowk,,Near Fire Brigade,,Samrala Road,NIL",LUDHIANA,PUNJAB,PPN
Sri Balaji Super Speciality Hospital,"31, Satguru Nagar Opp. Verka Milk Plant,,Firuzpur Road,NIL",LUDHIANA,PUNJAB,PPN
Healthline Multispecialty Hospital,"191, Tagore Nagar Civil Lines LudhianaLudhiana",LUDHIANA,PUNJAB,NON PPN
"Orison Superspeciality Hospital inferlity 
And Trauma Centre","Adarsh Nagar, Barewal Road, Opp. Grand Walk Mall, 
Ferozepur Road-LudhianaLudhiana",LUDHIANA,PUNJAB,PPN
Goyal Hospital,"B-1, Flower Enclave, 200 Feet road, Dugri, Basant Avenue,",LUDHIANA,PUNJAB,PPN
Neurociti Hospital,"B-XX/2034, GOBIND NAGAR, NEAR HOTEL ONN,nil",LUDHIANA,PUNJAB,PPN
Hunjan Bone And Joint Hospital,"56, South Model Gram, Kochar Market Road,nil",LUDHIANA,PUNJAB,PPN
Pancham Hospital,"SCO 34-37 Canal Road,Jawadinil",LUDHIANA,PUNJAB,PPN
Prolife Multispeciality Hospital,"Vill. Gill.,Malerkotla Road, nil",LUDHIANA,PUNJAB,PPN
Max Super Speciality Hospital Mohali,"Near Civil Hospital, Phase-Vi, Sas Nagar, Near Verka Milk 
PlantMohali",MOHALI,PUNJAB,PPN
Liberty Multispeciality Hospital,"1799-1800,PHASE-3-B-2Mohali",MOHALI,PUNJAB,PPN
Cosmo Hospital,"Sector 62 , Phase 8 Mohali,Near Bus Stand,Mohali",MOHALI,PUNJAB,PPN
"Behgal Hospital (Bahgal Institute Of It 
And Radiation Technology)","F-431,435,436, Industrial Area,,Phase 8-B,,Mohali",MOHALI,PUNJAB,NON PPN
"Mayo Healthcare Super Speciality 
Hospital","Sector69,Near Gurudwara Singh Shaheedan,MohaliNIL",MOHALI,PUNJAB,PPN
JP Hospital,"Ambala Chandigarh road, Zrakpur, Distt. Mohali, Punjabi-
140602Mohali",MOHALI,PUNJAB,PPN
Cosmo Hospital(Surya Kidney Care),"Shivalik hospital, Sec-69, Ajit Garh, MohaliMohali",MOHALI,PUNJAB,PPN
Chawla Nursing Home And Hospital,"K. No. 1 & 2,,Phase-Vll, Sector 60,,MohaliNIL",MOHALI,PUNJAB,PPN
Harmony Hospital,"Sco 116, Phase-5, Indl.Area,,Shahi Majra, Sector-58,Near 
J.D Hotel,NIL",MOHALI,PUNJAB,PPN
Healthsure Multispeciality Hospital,"Chandigarh - Ludhiana Road, Vpo Gharuan,,Near Bus Stand 
Gharuan,NIL",MOHALI,PUNJAB,NON PPN
Shalby Hospital (Silver Oak),"Phase - 9, Sector 63, SAS Nagar, nil",MOHALI,PUNJAB,PPN
Amandeep Hospital,"Dalhousie Road Mamoon,,Mamoon Cantt,,Pathankot",Pathankot,PUNJAB,NON PPN
Kalyani Hospital (Pathankot),"Ab College, Near Radha Swami Satsang Bhawan,,,NIL",PATHANKOT,PUNJAB,NON PPN
Columbia Asia Hospitals Pvt Ltd (Patiala),"# 22, Bhupindra Road,,22 No. Phatak,NIL",PATIALA,PUNJAB,NON PPN
Neelam Hospital And Maternity Home,"Nh- 64, Rajpura-Chandigarh Road ,,Opp. Chitkara 
University,,Vill - Fatehpurgarhi ,",RAJPURA,PUNJAB,NON PPN
Guru Nanak Hospital (Rajpur),"Guru Nanak Complex,,Sham Nagar, Near Lic 
Office,,RajpuraNIL",RAJPURA,PUNJAB,NON PPN
Baweja Multispeciality Hospital,"1571/39, Preet Colony,,Opp Civil Hospital, Rupnagar,",ROPAR,PUNJAB,NON PPN
Amcare Medical And Research Hospital,VIP Road ZirakpurZirakpur,ZIRAKAPUR,PUNJAB,PPN
"Kshetrapal Hospital Multi Speciality And 
Research Centre","Sector-C, Panchsheel Nagar,,Near Jhalkari Bai Smarak,",AJMER,RAJASTHAN,NON PPN
Mewar Hospital Pvt Ltd(Ajmer),"A-175,Hari Bhau Upadhyay Nagar,Near Glitz,NIL",AJMER,RAJASTHAN,NON PPN
Mittal Hospital And Research Centre,"Pushkar Road,,AjmerNIL",AJMER,RAJASTHAN,NON PPN
Sania Hospital,"248-249, N E B,Subhash Nagar,,AlwarNIL",Alwar,RAJASTHAN,NON PPN
Harish Hospital Pvt Ltd,"1, Raghu Commercial Complex,,Scheme No. 10,,Nr. Jail 
CircleNIL",ALWAR,RAJASTHAN,NON PPN
Hi-Tech Hospital,"4, Krishna Colony, Ambedkar CircleNIL",ALWAR,RAJASTHAN,NON PPN
Solanki Hospital,"10,Ram Kuteer,,Near Ashok Circle,AlwarNIL",ALWAR,RAJASTHAN,NON PPN
Soni Devi Memorial Hospital,"Near ASP Office, Neemrana,Alwarnil",ALWAR,RAJASTHAN,NON PPN
Satish Hospital,"CC-01, Ricco Industrial Area,Near Krishna Tower,Neemrana",ALWAR,RAJASTHAN,NON PPN
Om Hospital,"Narnaul Road, BehrorOld Bus Stand,",ALWAR,RAJASTHAN,NON PPN
Asg Hospital Pvt Ltd Balotra,"Nahta Hospital Road Near Ram Kutiya,,",Balotra,RAJASTHAN,NON PPN
Mewar Hospital Pvt Ltd (Banswara),"Shyam Colony,,Udaipur Road,,BanswaraNIL",BANSWARA,RAJASTHAN,NON PPN
Thar Hospital And Multispeciality Centre,"On NH 15,Near kailash hotel,barmer",BARMER,RAJASTHAN,NON PPN
Pradeep Hospital & Fracture Clinic,"Outside Be-Narayan Gate, Circular Road, Bharatpur,Infront 
of ICICI Bank,",BHARATPUR,RAJASTHAN,NON PPN
Vijay Hospital,"Near Kanjoli Line, Railway Over Briage, Deeg Road, 
Bharatpur, Rajasthan-321001Bharatpur",BHARATPUR,RAJASTHAN,NON PPN
Porwal Hospital,"Love Garden Road, RC Vyas Colony, BhilwaraBhilwara",BHILWARA,RAJASTHAN,NON PPN
Bhansali Hospital,"Rajiv Gandhi Auditorium Road, R C Vyas Colony, Bhilwara, 
Rajasthan 311001Bhilwara",BHILWARA,RAJASTHAN,NON PPN
Brijesh Banger Memorial Hospital,"Behind Rajiv Gandhi Auditorium,R.C. Vyas colony,nil",BHILWARA,RAJASTHAN,NON PPN
Mewar Hospital Pvt Ltd (Bhilwara),"8-F- 7 ,Near Rajiv Gandihi Audotirium, R.C.Vyas Collony,nil",BHILWARA,RAJASTHAN,NON PPN
Asg Hospital Pvt Ltd(Bikaner),"NEAR KHADI EMPORIUM, OPP KHATURIA HOUSE, RANI 
BAZAR, BIKANERNIL",BIKANER,RAJASTHAN,NON PPN
MN Hospital And Research Centre,"Near Dr Karmi Singh Stadium,,,BikanerNIL",BIKANER,RAJASTHAN,NON PPN
Jeevan Raksha Hospital,"A-156, Opp.SBI Bank,Sardul Ganj,nil",BIKANER,RAJASTHAN,NON PPN
MP Birla Hospital And Research Centre,"Birla Hospital Road, Senthi,Opp. Rajiv Gandhi Park,",CHITTORGARH,RAJASTHAN,NON PPN
Mewar Hospital Pvt Ltd (Chittorgarh),"27, Khumbhanagar, Near Railway fatak, By pass Road,nil",CHITTORGARH,RAJASTHAN,NON PPN
Churu Multispeciality Hospital,"Ward No.16, Nai Sadak,Near Balaji hardware,",CHURU,RAJASTHAN,NON PPN
Tantia General Hospital,"2-A-6 , Sukhadia Nagar,,Midway Between Sukhadia Circle 
And Meera Chowk On The Main Road,NIL",GANGANAGAR,RAJASTHAN,NON PPN
Aastha Kidney And General Hospital,"2-D-1 SUKHADIA NAGAR,SAI GANGANGARBehind Tantia 
General Hospital",GANGANAGAR,RAJASTHAN,NON PPN
"Shri Kanha Ram saharan Memorial 
Trauma And Multispeciality Hospital","Near MGM Govt Hospital,Hanumangarh Dist.",HANUMANGARH JN,RAJASTHAN,NON PPN
Deep Hospital And Research Centre,"Khatipura Road,,JhotiwaraJhotwara",Jaipur,RAJASTHAN,PPN
Manu Hospital And Research Centre,"A-1a,Shyam Nagar,,Near Central Academy 
School,Sodala,,SodalaNIL",JAIPUR,RAJASTHAN,PPN
Apex Hospital Pvt Ltd,"Sp-4&6 Malviya Nagar Industrial Area,Malviya Nagar Near 
Calgary Eye Hospital,Malviya NagarNIL",JAIPUR,RAJASTHAN,PPN
Soni Hospital,"38, Kanota Bagh, JLN Marg",JAIPUR,RAJASTHAN,PPN
Tagore Hospital And Research Institute,"Tagore Lane, Sector-7,,Shipra Path, Madhya Marg, 
Mansarovar",JAIPUR,RAJASTHAN,PPN
"Shekhawati Hospital And Research 
Centre","A/2, Opp. Time Square,,Central Spine,,Vidhyadhar NagarNIL",JAIPUR,RAJASTHAN,PPN
Bani Park Hospital,"D - 9, Kabir Marg,,Bani Park,,JaipurJaipur",JAIPUR,RAJASTHAN,PPN
Imperial Hospital And Research Centre,"Kanwatia Circle,,Shastir Nagar,JaipurNIL",Jaipur,RAJASTHAN,PPN
Bhandari Hospital and Research Centre,"138-A, Vasundhara Colony, Gopalpura Bypass, Tonk Road",JAIPUR,RAJASTHAN,PPN
"Dhanwantri Hospital And Research 
Centre","67/56-A,NEW SANGANER ROAD,Mansarovar,Near Kids Club 
School",JAIPUR,RAJASTHAN,NON PPN
Jain Ent Hospital(Jaipur),"23-24, Satya Vihar Colony Pankanj Singhavi Marg,,Near 
New Vidhan Sabha,,Lal Kothi,JAIPUR",JAIPUR,RAJASTHAN,PPN
"Bhagwan Mahaveer Cancer Hospital And 
Research Centre","Jawahar Lal Nehru Marg,,Near Saaras Sankul,,Near Saaras 
Sankul,NIL",JAIPUR,RAJASTHAN,PPN
Gopinath Hospital Pvt Ltd,"SEC-8, CHETAK MARG, PARTAP NAGAR, SANGANER, 
JAIPURNIL",JAIPUR,RAJASTHAN,PPN
Jain Hospital,"605-606, Shanti Path,,Sindhi Colony,Rajpark,Near Mama ka 
Hotel",JAIPUR,RAJASTHAN,NON PPN
Marudhar Hospital,"A-93-99, Singh Bhoomi,,Khatipura,,JaipurNIL",JAIPUR,RAJASTHAN,PPN
"Rukmani Birla Hospital(A Unit Of The 
Calc)","Triveni Flyover,,Gopalpura By Pass Road,,NIL",JAIPUR,RAJASTHAN,NON PPN
Rajgirish Hospital,"A 12, RIICO IND. AREA, BINDAYAKA, SIRSI ROAD,NIL",JAIPUR,RAJASTHAN,NON PPN
Sardarmal Khandaka Memorial Hospital,"Hathoj,,Kalwar Road,,Jhotwara To Kalwar RoadJAIPUR",Jaipur,RAJASTHAN,PPN
Swastik Hospital,"3-KH-5A, Petrol Pump Lane, Opp BSNL Office, Jawahar 
Nagar,nil",JAIPUR,RAJASTHAN,NON PPN
Apex Hospital Mansarovar,"Vidhayanchal Marg,,Rajat Path,,Mansarovar",Jaipur,RAJASTHAN,NON PPN
"Apollo Spectra Hospitals (Apollo 
Speciality Hospitals Private Ltd) 
(Mahaver","J-2/37, Mahaveer Marg,,Opposite Jai Club, C-
Scheme,,Mahaveer MargNIL",JAIPUR,RAJASTHAN,NON PPN
Archana Hospital (Jaipur),"26/27 Shiv Colony,Airport Circle,Stanganer",Jaipur,RAJASTHAN,PPN
Asg Hospital Pvt Ltd Mansarovar,"No.94/7 Madhyam Narg Vijay Path Chouraha,,Mansarovar",Jaipur,RAJASTHAN,NON PPN
Asg Hospital Pvt Ltd Pali,"Opp Bangar College,,Bajrang Bagh Road,,Pali",Jaipur,RAJASTHAN,NON PPN
Asg Hospital Pvt Ltd Vaishalinagar Jaipur,"No.A/18 Ridhi Sidhi Tower Near Vaishali Tower To Nursery 
Circle,Vaishali Nagar,",Jaipur,RAJASTHAN,NON PPN
"Asian Superspeciality Hospital And 
Trauma Centre ( A Unit Of SNR 
Healthcare)","Chandpole Bazar, Behind Zanana Hospital,,Near Pareek 
College,NIL",JAIPUR,RAJASTHAN,NON PPN
Asopa Hospital,"93-B, Tagore Nagar,,Near Kiran Place,,Ajmer Road,NIL",JAIPUR,RAJASTHAN,PPN
Bagra Maternity And General Hospital,"Saipura Bypass, Diggi Road,,Madrampura, Sanganer,",Jaipur,RAJASTHAN,NON PPN
Bansal Hospital(Jaip),"4,Janakpuri,1st, Imli Wala Phatak,Near Vidhan SabhaNIL",JAIPUR,RAJASTHAN,PPN
"Bhagwan Mahaveer Hospital And 
Research Centre","Opp. Brahman Dharmshala, Bayana Road, Hindaun City, 
Near Maniram Park,,,",Jaipur,RAJASTHAN,NON PPN
CBLM Memorial Holy Family Hospital,"43, Ashok Vihar, Ambabadi Puliya Bridge, Jhoiwara 
Road,Behind Petrol Pump,,Zhotvada RoadNIL",JAIPUR,RAJASTHAN,PPN
Chirayu Hospital,"Hathoj,Kalwar Road,P.O.JaipurGovindpura",JAIPUR,RAJASTHAN,PPN
Curewell Hospital,"1/51-53, Sfs, Mansarovar,,jaipur",JAIPUR,RAJASTHAN,PPN
Fortis Escorts Hospital Jaipur,"Jawaharlal Nehru Marg, Malviya NagarNIL",JAIPUR,RAJASTHAN,NON PPN
Ghiya Hospital,"68, Siddharth Nagar,,E-Block,Sector 12, Main Road,Malviya 
Nagar",Jaipur,RAJASTHAN,PPN
Global Heart And General Hospital,"C - 1/27, Opp. Bhara Apartment,,Near Ghandhi Path 
Chitrakoot Ajmer Road, Gandhi Path",JAIPUR,RAJASTHAN,PPN
Goyal Hospital Jaipur,"A-1, Pani Ki Tanki Circle,,Shastri Nagar,,",Jaipur,RAJASTHAN,PPN
Heart And General Hospital Jaipur,"7, Vivekanand Marg,,C - Scheme, Opp S M S 
Hsopital,JaipurNIL",JAIPUR,RAJASTHAN,PPN
Krishna Heart And General Hospital,"#138, Prem Niwaspandit TN Mishra Road, Near Ganga 
Jamuna Petrol Pumpswami Vihar, Nirman Nagar",JAIPUR,RAJASTHAN,NON PPN
Malpani Multispeciality Hospital,"S P - 6, Road No - 1, Vishwakarma Industrial Area,,Nr. V K I 
Association Bhawan, Sikar Road",JAIPUR,RAJASTHAN,PPN
Maya Devi Hospital,"C-386,Sudama Kutee Road,Mahesh Nagar,Jaipur,,Jaipur",Jaipur,RAJASTHAN,PPN
"Metro Mas Heartcare And Multispeciality 
Hospital","Manas Arogya Sadan, Shipra Path,,Near Techology 
Park,,MansarovarNIL",JAIPUR,RAJASTHAN,PPN
Metropolitan Hospital (Jaipur),"203,Officer'S Campus ,,Sirsi Road,,Jaipur,NIL",JAIPUR,RAJASTHAN,PPN
Mewar Hospital Pvt Ltd (Jaipur),"5-9 Ajmer Road, Shyam Nagar,,,",Jaipur,RAJASTHAN,PPN
Monilek Hospital And Research Centre,"Sector 4, Jawahar Nagar",JAIPUR,RAJASTHAN,PPN
Narayana Multispeciality Hospitals,"Sec-28 Kumbha Marg,,Pratap Nagar,,SanganerNIL",JAIPUR,RAJASTHAN,NON PPN
Precious Hospital,"B-228, Vaishali Marg,,Opp. Gaurav Restrurent,,Near Vaishali 
Nagar,",Jaipur,RAJASTHAN,NON PPN
"Ram Janki Memorial Vijay Vergiya 
Hospital","9, Vishnupuri,,Jagalpura Road,,Japur",Jaipur,RAJASTHAN,PPN
Rawal Hospital,"Bhankrota,Ajmer Road,Jaipur",Jaipur,RAJASTHAN,PPN
Rungta Hospital,"Malviya Nagar,Kalgary Road,JaipurNIL",JAIPUR,RAJASTHAN,PPN
"SR Kalla Memorial Gastro And General 
Hospital","78, Dhuleshwar Garden, Behind Hsbc Bank,,Sardar Patel 
Marg, C Scheme,JaipurNIL",JAIPUR,RAJASTHAN,PPN
Sahai Hospital And Research Centre,"A - 73, Bhabha Marg,,Moti Dungri,",Jaipur,RAJASTHAN,PPN
Shri Amar Jain Hospital,"Chaura Rasta Jaipur,,",Jaipur,RAJASTHAN,PPN
Shri Hospital (Vishnupuri),"4-5, Vishnupuri,,Jagatpura Road,Near Bank of Baroda",JAIPUR,RAJASTHAN,NON PPN
Shubh Hospital,"A - 35, Vidhyut Nagar,,Ajmer Road,,JaipurNIL",JAIPUR,RAJASTHAN,NON PPN
Sita Devi Hospital,"74 Sri Ram Colony,,Behind Chambal Grid,,Hawa Sadak",Jaipur,RAJASTHAN,PPN
"Manipal Hospital( Manipal Hospital Jaipur 
Pvt.Ltd)","Sector - 5, Vidhyadhar Nagar,",JAIPUR,RAJASTHAN,NON PPN
