Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code
Punya Hospital India Pvt Ltd,BANGALORE,KARNATAKA,4.3,1141,"XGPP+CX Bengaluru, Karnataka"
"Rajarajeswari Medical College And 
Hospital(Bfangalore)",Bangalore,KARNATAKA,4.0,2267,"VFV7+H7 Kambipura, Karnataka"
Rajashri Grandhim Speciality Hospital,BANGALORE,KARNATAKA,4.3,458,"VJW5+52 Bengaluru, Karnataka"
Rajnandini Hospital,Bangalore,KARNATAKA,2.3,103,"VHMC+R3 Bengaluru, Karnataka"
"Raksha Multispeciality 
Hospital(Bangalore)",BANGALORE,KARNATAKA,3.7,121,"2G9R+RR Bengaluru, Karnataka"
Rangadore Memorial Hospital,BANGALORE,KARNATAKA,3.6,967,"XH3C+CC Bengaluru, Karnataka"
Regal Hospital,Bangalore,KARNATAKA,4.4,1614,"3JMM+8X Bengaluru, Karnataka"
Republic Hospital,Bangalore,KARNATAKA,3.3,46,"XH7X+J7 Bengaluru, Karnataka"
S. K. Hospital,Bangalore,KARNATAKA,3.3,100,"XG49+W9 Bengaluru, Karnataka"
S.G. Hospital,Bangalore,KARNATAKA,3.9,32,"WGHW+28 Bengaluru, Karnataka"
Sagar Chandramma Hospital,BANGALORE,KARNATAKA,3.7,312,"WHXF+FV Bengaluru, Karnataka"
Sagar Hospital ( Banagalore ),BANGALORE,KARNATAKA,4.4,3492,"WH57+6X Bengaluru, Karnataka"
Sahana Hospital,Bangalore,KARNATAKA,5.0,1,"2G8V+HC Bengaluru, Karnataka"
Sanjeevini Hospital(Bangalore),BANGALORE,KARNATAKA,4.5,2018,"2G6V+MH Bengaluru, Karnataka"
Sarojini Hospital,BANGALORE,KARNATAKA,4.0,83,"2GR3+CV Bengaluru, Karnataka"
"Sathya Sai Orthopaedic And 
Multispeciality Hospital",BANGALORE,KARNATAKA,4.7,4761,"2PC7+J4 Bengaluru, Karnataka"
Sevakshetra Hospital,Bangalore,KARNATAKA,3.3,354,"WHCC+JV Bengaluru, Karnataka"
Seventh-Day Adventist Hospital,Bangalore,KARNATAKA,3.8,514,"XJW6+6G Bengaluru, Karnataka"
Shanthi Hospital And Research Centre,BANGALORE,KARNATAKA,4.2,348,"WHCG+3V Bengaluru, Karnataka"
Shekhar Hospital,BANGALORE,KARNATAKA,4.4,413,"WHW8+8X Bengaluru, Karnataka"
Shirdi Sai Hospital Pvt Ltd,BANGALORE,KARNATAKA,3.2,212,"2HP7+WX Bengaluru, Karnataka"
Shiva Shakti Multispeciality Hospital,BANGALORE,KARNATAKA,3.3,78,"WFRV+97 Bengaluru, Karnataka"
Shreya Hospital(Bang),BANGALORE,KARNATAKA,4.1,726,"WFCM+H7 Bengaluru, Karnataka"
Shushrusha Hospital,BANGALORE,KARNATAKA,4.0,622,"3HXX+V6 Bengaluru, Karnataka"
Sita Bhateja Speciality Hospital,Bangalore,KARNATAKA,5.0,1,"XHMV+9V Bengaluru, Karnataka"
South City Hospital,BANGALORE,KARNATAKA,4.2,161,"WHXJ+V3 Bengaluru, Karnataka"
