Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code
Prashanth Multispeciality Hospital,CHENNAI,TAMILNADU,4.6,6627,"X6HC+CG Chennai, Tamil Nadu"
Apollo Spectra Hospital Alwarpet,CHENNAI,TAMILNADU,4.8,3223,"27P4+CV Chennai, Tamil Nadu"
Sivam Hospital,CHENNAI,TAMILNADU,4.7,2100,"3646+4P Chennai, Tamil Nadu"
FOR Ortho And Neuro Speciality Hospital,CHENNAI,TAMILNADU,4.6,1199,"46G4+5H Chennai, Tamil Nadu"
Dr Rex S Hospital,CHENNAI,TAMILNADU,4.2,42,"37M2+H3 Chennai, Tamil Nadu"
Orthomed Multispeciality Hospital,CHENNAI,TAMILNADU,,,
Ravina Hospital,CHENNAI,TAMILNADU,4.4,815,"3567+M5 Chennai, Tamil Nadu"
Mint Multispeciality Hospital,CHENNAI,TAMILNADU,3.8,335,"472M+4H Chennai, Tamil Nadu"
Murugan Hospitals,CHENNAI,TAMILNADU,4.7,2834,"36MM+9P Chennai, Tamil Nadu"
Saraswathy Multispecialty Hospital,CHENNAI,TAMILNADU,4.3,1205,"X684+5M Chennai, Tamil Nadu"
Avinash Hospitals Pvt Ltd,CHENNAI,TAMILNADU,4.3,172,"W5XQ+X4 Chennai, Tamil Nadu"
Bewell Hospitals,CHENNAI,TAMILNADU,4.7,2100,"3646+4P Chennai, Tamil Nadu"
Gem Hospital And Research Centre,CHENNAI,TAMILNADU,4.7,1310,"X69W+M8 Chennai, Tamil Nadu"
Be Well Hospitals(Poonamallee),CHENNAI,TAMILNADU,4.6,1979,"332X+6F Chennai, Tamil Nadu"
Maaya Speciality Hospital,CHENNAI,TAMILNADU,4.7,1615,"46J6+JV Chennai, Tamil Nadu"
VM Hospitals,CHENNAI,TAMILNADU,3.3,160,"45H3+2M Chennai, Tamil Nadu"
Hycare Superspeciality Hospital,CHENNAI,TAMILNADU,4.5,780,"36C8+66 Chennai, Tamil Nadu"
Rainbow Children Hospital,CHENNAI,TAMILNADU,4.7,2100,"3646+4P Chennai, Tamil Nadu"
RPS Hospital,CHENNAI,TAMILNADU,,,
MMRV Hospital,CHENNAI,TAMILNADU,4.5,1397,"35HC+J7 Chennai, Tamil Nadu"
Muthu Hospital,CHENNAI,TAMILNADU,4.2,348,
Bharath Hospital,CHENNAI,TAMILNADU,4.0,314,"X5JV+XG Chennai, Tamil Nadu"
Km Hospitals,CHENNAI,TAMILNADU,,,
Dr Arvind Vision Care Hospital,CHENNAI,TAMILNADU,4.7,335,"35M9+JM Chennai, Tamil Nadu"
Neolife Childrens Hospital,CHENNAI,TAMILNADU,3.6,305,"X59Q+QG Chennai, Tamil Nadu"
Neolife Hospital Pvt Ltd,CHENNAI,TAMILNADU,3.6,305,"X59Q+QG Chennai, Tamil Nadu"
Ezhil Hospital,CHENNAI,TAMILNADU,3.8,143,"47HR+QG Chennai, Tamil Nadu"
Mount Multispeciality Hospital,CHENNAI,TAMILNADU,4.3,284,"X5JX+XJ Chennai, Tamil Nadu"
Mahalakshmi Multispeciality Hospital,CHENNAI,TAMILNADU,4.3,991,"24QM+M6 Chennai, Tamil Nadu"
Tagore Medical College And Hospital,CHENNAI,TAMILNADU,4.0,300,"V45P+WJ Chennai, Tamil Nadu"
Dr Mehta Multispeciality Hospital,CHENNAI,TAMILNADU,4.6,7436,"36CR+J6 Chennai, Tamil Nadu"
C Dot Hospital,CHENNAI,TAMILNADU,4.6,889,"W643+W3 Chennai, Tamil Nadu"
Lakshmi Maternity Hospital,CHENNAI,TAMILNADU,4.3,257,"X7V3+H4 Chennai, Tamil Nadu"
"Srinivasan Rajalakshmi Memorial Hospital 11/77, 6th Street, Voltas Colony, Nanganallur,",CHENNAI,TAMILNADU,4.1,132,"X5FQ+82 Chennai, Tamil Nadu"
Vishnu ENT Hospital,COIMBATORE,TAMILNADU,4.2,199,"2WGW+JR Coimbatore, Tamil Nadu"
VG Hospital,COIMBATORE,TAMILNADU,3.9,307,"3WCR+7P Thudiyalur, Tamil Nadu"
Rexortho Hospital,COIMBATORE,TAMILNADU,3.9,642,"2X54+9F Coimbatore, Tamil Nadu"
Ashwin Hospital (Coimbatore),Coimbatore,TAMILNADU,4.2,483,"2XFF+M7 Gandhipuram, Tamil Nadu"
Brj Ortho Centre And Mak Hospital,Coimbatore,TAMILNADU,3.4,153,"2XM2+JF Coimbatore, Tamil Nadu"
Deepam Hospital ( Ramanathapuram ),Coimbatore,TAMILNADU,2.9,54,"X2W3+MG Ramanathapuram, Tamil Nadu"
"Gem Hospital And Research Centre(P)Ltd No 45-A, Pankaja Mill Road, Ra,Manathapuram,",COIMBATORE,TAMILNADU,4.2,2741,"XXXW+R5 Ramanathapuram, Tamil Nadu"
Global Ortho And Trauma Hospital,Coimbatore,TAMILNADU,4.2,115,"2X68+8C Coimbatore, Tamil Nadu"
Kongunad Hospitals Pvt Ltd,COIMBATORE,TAMILNADU,4.8,5926,"2X96+35 Coimbatore, Tamil Nadu"
Kovai Medical Center And Hospital Ltd,COIMBATORE,TAMILNADU,3.2,1576,"22RR+X5 Coimbatore, Tamil Nadu"
Kps Hospitals Pvt Ltd,COIMBATORE,TAMILNADU,2.7,112,"8W2R+54 Mettupalayam, Tamil Nadu"
PSG Hospitals,COIMBATORE,TAMILNADU,3.5,2073,"2294+FR Coimbatore, Tamil Nadu"
Ranga Hospital Coimbatore,COIMBATORE,TAMILNADU,3.3,44,
Rasi Hospital,Coimbatore,TAMILNADU,4.8,67,"9R7Q+MH Ramanathapuram, Tamil Nadu"
Richmond Hospital,COIMBATORE,TAMILNADU,4.8,544,"XXVH+RQ Coimbatore, Tamil Nadu"
Saraswathi Hospital,COIMBATORE,TAMILNADU,3.5,102,"234C+QH Coimbatore, Tamil Nadu"
Sheela Hospital,COIMBATORE,TAMILNADU,4.1,325,"2X96+95 Coimbatore, Tamil Nadu"
Spt Hospital Pvt Ltd,COIMBATORE,TAMILNADU,4.4,314,"2X76+PH Coimbatore, Tamil Nadu"
Sri Balaji Hospital Coimbatore,Coimbatore,TAMILNADU,3.2,85,"XX3F+HH Kurichi, Tamil Nadu"
