Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code
"SV Hospital (A Unit Of Healthcare 
Alliance)",ANANTPUR,ANDHRA PRADESH,,,
Kims Saveera Hospital Pvt Ltd,ANANTPUR,ANDHRA PRADESH,4.9,19172,"MH4M+5J Anantapur, Andhra Pradesh"
Aashraya Multi Specialty Hospital,CHITOOR,ANDHRA PRADESH,3.9,139,"64G5+PC Chittoor, Andhra Pradesh"
Aragonda Apollo Hospitals,Chittoor,ANDHRA PRADESH,4,92,"7XM4+37 Aragonda, Andhra Pradesh"
Apollo Samudra Hospitals(Kakinada),East Godavari,ANDHRA PRADESH,4.8,8090,"X66P+68 Kakinada, Andhra Pradesh"
Swatantra Hospitals Pvt Ltd,East Godavari,ANDHRA PRADESH,4.4,467,"2Q7H+P2 Rajamahendravaram, Andhra Pradesh"
Prof D Ramakotaiah Children Hospital,GUNTUR,ANDHRA PRADESH,4.8,1121,"7CVX+RM Guntur, Andhra Pradesh"
Padmavathy Superspeciality Hospital,GUNTUR,ANDHRA PRADESH,4.5,479,
Sri Datta Super Specialty Hospital,GUNTUR,ANDHRA PRADESH,4.6,940,"62JW+79 Narasaraopeta, Andhra Pradesh"
Sri Vasudha Hospitals,GUNTUR,ANDHRA PRADESH,4.1,35,"7FX2+78 Guntur, Andhra Pradesh"
Tulasi Multi Speciality Hospital,GUNTUR,ANDHRA PRADESH,4.8,1989,"7FX3+CM Guntur, Andhra Pradesh"
Sravani Hospital,GUNTUR,ANDHRA PRADESH,4.3,439,"7FW2+PH Guntur, Andhra Pradesh"
Vedanta Hospitals,GUNTUR,ANDHRA PRADESH,4,392,"8F47+VC Guntur, Andhra Pradesh"
NRI General Hospital,GUNTUR,ANDHRA PRADESH,3,599,"CH75+X26 Guntur, Andhra Pradesh"
St Joseph General Hospital,GUNTUR,ANDHRA PRADESH,3.1,211,"7CXR+2F3 Guntur, Andhra Pradesh"
Palnadu Hospitals,GUNTUR,ANDHRA PRADESH,2.6,30,"8F22+32 Guntur, Andhra Pradesh"
Vunnam Hospitals,GUNTUR,ANDHRA PRADESH,3.4,76,"FVHV+M5 Piduguralla, Andhra Pradesh"
Sri Balaji Hospital Guntur,GUNTUR,ANDHRA PRADESH,4.8,792,"7FX2+C6 Guntur, Andhra Pradesh"
