Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code
Rathod Hospital,THANE,MAHARASHTRA,5.0,6.0,"5XMG+MP Thane East, Thane, Maharashtra"
Bijankur Hospital Pvt. Ltd,THANE,MAHARASHTRA,3.8,24.0,"538H+PH Nilje Gaon, Maharashtra"
Khadakpada Multispeciality Hospital,THANE,MAHARASHTRA,4.6,1188.0,"743Q+95 Kalyan, Maharashtra"
Nulife Hospital,THANE,MAHARASHTRA,2.7,39.0,"637V+XC Dombivli, Maharashtra"
Dr Thakurs Vedant Hospital,THANE,MAHARASHTRA,2.2,20.0,"743R+XP Kalyan, Maharashtra"
"Aarogya Multispecialty Hospital And 
Trauma Centre",THANE,MAHARASHTRA,3.8,54.0,"6222+M8 Thane, Maharashtra"
Aarogyadhan Hospital,THANE,MAHARASHTRA,4.0,10.0,"5XR2+GJ Thane, Maharashtra"
Aarogyam MultiSpeciality Hospital,THANE,MAHARASHTRA,3.2,70.0,"5XMG+HM Thane, Maharashtra"
"Aarogyam Multi Speciality Hospital And 
Iccu",THANE,MAHARASHTRA,3.2,70.0,"5XMG+HM Thane, Maharashtra"
Aayush Hospital(Thane),THANE,MAHARASHTRA,4.8,203.0,"5XX8+96 Thane, Maharashtra"
Alliance Hospital,THANE,MAHARASHTRA,3.1,183.0,"CR9C+VW Nalasopara East, Nala Sopara, Maharashtra"
"Am Pm 24 Hrs Hospital Multispeciality 
Trauma And Research Centre",THANE,MAHARASHTRA,4.0,102.0,"64QG+2F Kalyan West, Kalyan, Maharashtra"
Anish Hospital(Thane),THANE,MAHARASHTRA,4.0,8.0,"636V+43 Dombivli, Maharashtra"
Apex Hospital,Thane,MAHARASHTRA,4.0,36.0,"63CP+P4 Dombivli, Maharashtra"
Apex Hospital(Kalyan),Thane,MAHARASHTRA,3.9,116.0,"64VF+M9 Kalyan, Maharashtra"
Arth Hospital,Thane,MAHARASHTRA,3.8,59.0,"CR3H+RM Vasai-Virar, Maharashtra"
Asha Hospital,THANE,MAHARASHTRA,4.7,71.0,"5XVC+86 Thane, Maharashtra"
Ashirwad Hospital (Bhiwandi),Thane,MAHARASHTRA,3.7,24.0,"73X7+2C Bhiwandi, Maharashtra"
Balaji Hospital Bhayandar,THANE,MAHARASHTRA,3.7,78.0,"7VW5+3M Mira Bhayandar, Maharashtra"
Balaji Hospital-Thane,THANE,MAHARASHTRA,3.4,18.0,
Cardinal Gracias Memorial Hospital,Thane,MAHARASHTRA,3.0,422.0,"9R74+P3 Sandor, Maharashtra"
"Criticare Superspeciality Hospital( Thane 
)",THANE,MAHARASHTRA,3.3,177.0,"6X28+J2 Thane, Maharashtra"
Crystal Hospitals Ltd (Dahisar),Thane,MAHARASHTRA,3.7,51.0,"7V36+2H Mumbai, Maharashtra"
Currae Gynaec Ivf Birthing Hospital,THANE,MAHARASHTRA,4.4,1353.0,"7X4C+9J Thane, Maharashtra"
"Currae Speciality Hospital (A Unit Of 
Patni Healthcare Ltd)",THANE,MAHARASHTRA,2.3,9.0,"7X4C+7M Thane, Maharashtra"
Dr Godboles Heart Care Hospital,THANE,MAHARASHTRA,4.4,723.0,"5XP8+6W Thane, Maharashtra"
Dr Harne Hospital,Thane,MAHARASHTRA,4.1,160.0,"639P+GJ Dombivli West, Dombivli, Maharashtra"
Dr Uppals Ent Hospital,THANE,MAHARASHTRA,4.5,228.0,"6X9H+M9 Thane, Maharashtra"
Dr Bhanushali Hospital,THANE,MAHARASHTRA,4.7,359.0,"5XQG+79 Thane, Maharashtra"
Dsouza Hospital,Thane,MAHARASHTRA,5.0,2.0,"7X5J+5R Thane West, Mumbai, Maharashtra"
"Gayatri Maternity And Ear Nose Throat 
Hospital",THANE,MAHARASHTRA,4.8,138.0,"5XVC+46 Thane, Maharashtra"
Golden Park Hospital,Thane,MAHARASHTRA,3.4,73.0,"6X6G+GR Thane, Maharashtra"
Gurukrupa Hospital,Thane,MAHARASHTRA,4.1,12.0,"6X2F+CH Thane, Maharashtra"
Gurukrupa Hospital And Polyclinic,THANE,MAHARASHTRA,4.6,684.0,"8V53+6Q Bhayandar, Sonam Sagar, Mira Bhayandar, Maharashtra"
Highland Super Speciality Hospital,THANE,MAHARASHTRA,4.5,851.0,"6XFH+GR Thane, Maharashtra"
Highway Hospital,THANE,MAHARASHTRA,4.7,577.0,"5XQ7+R5 Thane, Maharashtra"
Holy Cross Hospital(Thane),THANE,MAHARASHTRA,3.7,247.0,"64RR+69 Kalyan, Maharashtra"
Horizon Hospital,THANE,MAHARASHTRA,4.5,849.0,"5XP9+P2 Mumbai, Maharashtra"
Icon Multispeciality Hospital & ICU,THANE,MAHARASHTRA,3.9,107.0,"5XR9+72 Thane, Maharashtra"
Jk Women Hospital,THANE,MAHARASHTRA,4.3,1367.0,"638R+C7 Dombivli, Maharashtra"
Jijai Women'S Hospital,Thane,MAHARASHTRA,4.8,336.0,"7X88+7M Thane, Maharashtra"
Krishna Hospital (Vasai),THANE,MAHARASHTRA,3.6,102.0,"9RJF+XF Vasai-Virar, Maharashtra"
Laxmi Hospital,THANE,MAHARASHTRA,4.6,7.0,
Life Care Hospital,THANE,MAHARASHTRA,4.0,94.0,"6X56+F3 Thane, Maharashtra"
Lifeline Multispeciality Hospital,THANE,MAHARASHTRA,3.8,119.0,"6X3C+4Q Thane, Maharashtra"
Lifecare Charitable Hospital (Nalasopara),THANE,MAHARASHTRA,3.5,156.0,"CR7G+WP Mumbai, Maharashtra"
Lotuss Hospital,THANE,MAHARASHTRA,4.8,168.0,"7VQ9+QM Mumbai, Maharashtra"
Maa Vaishnavi Multispeciality Hospital,THANE,MAHARASHTRA,3.4,57.0,"5XJF+88 Thane, Maharashtra"
Metropol Multispeciality Hospital Llp,Thane,MAHARASHTRA,4.1,349.0,"6XPG+96 Thane, Maharashtra"
Modi Hospital,THANE,MAHARASHTRA,4.5,82.0,"5WQW+G8 Thane, Maharashtra"
"Neel Orthopedic Super Speciality Hospital 1st Floor, Sheetal Niketan Co-Op Housing Soc.,,Opp. Hum",THANE,MAHARASHTRA,4.4,159.0,"8V45+83 Mira Bhayandar, Maharashtra"
"Neptune Superspeciality Hospital 
(Dombivali)",THANE,MAHARASHTRA,3.9,75.0,"6423+98 Dombivli, Maharashtra"
New Sai Ganga Hospital,THANE,MAHARASHTRA,3.6,36.0,"8V57+74 Mira Bhayandar, Maharashtra"
Noble Hospital Dombivli,THANE,MAHARASHTRA,3.9,445.0,"639Q+37 Dombivli, Maharashtra"
Om Hospital(Vasai),THANE,MAHARASHTRA,2.7,61.0,"8RW2+XM Vasai-Virar, Maharashtra"
Omkar Hospital & Icu (Thane),THANE,MAHARASHTRA,,,"6X8H+26 Thane, Maharashtra"
Optilife Multispeciality Hospital,THANE,MAHARASHTRA,3.8,212.0,"634W+V5 Dombivli, Maharashtra"
Orange Hospital-Mira Road,THANE,MAHARASHTRA,3.1,58.0,"7VX9+R2 Mira Bhayandar, Maharashtra"
Orthonova Hospital(Thane),Thane,MAHARASHTRA,4.2,78.0,"6XMG+R7 Thane, Maharashtra"
"Oscar And Multispeciality Centre 
Hospital.",THANE,MAHARASHTRA,4.2,247.0,"6XPF+MP Thane, Maharashtra"
Ozone Multispeciality Hospital,THANE,MAHARASHTRA,4.2,87.0,"7229+C7 Bhiwandi, Maharashtra"
Platinum Hospitals (Thane),Thane,MAHARASHTRA,4.2,720.0,"5XM3+3J Mumbai, Maharashtra"
Pragati Hospital And Icu,THANE,MAHARASHTRA,3.6,61.0,
"Rr Hospital Kagzi Hospital And Medical 
Research Center",Thane,MAHARASHTRA,3.8,196.0,"6474+2M Dombivli, Maharashtra"
Revival Bone And Joint Hospital,THANE,MAHARASHTRA,4.3,119.0,"5XQ8+6F Thane, Maharashtra"
S S Hospital And Research Centre,THANE,MAHARASHTRA,4.3,443.0,"62X9+X3 Bhiwandi, Maharashtra"
Sai Criticare Hospital (Thane),THANE,MAHARASHTRA,3.0,23.0,"6X66+4H Thane, Maharashtra"
Sai Dham Hospital,THANE,MAHARASHTRA,4.0,42.0,"6X44+G9 Thane, Maharashtra"
Sai Jyot Multispeciality Hospital.,Thane,MAHARASHTRA,4.7,428.0,"637Q+G9 Dombivli, Maharashtra"
Sai Vedant Multi Speciality Hospital,THANE,MAHARASHTRA,4.0,40.0,"8V33+VJ Mira Bhayandar, Maharashtra"
Saibaba Hospital And Polyclinic,THANE,MAHARASHTRA,3.7,15.0,"7VCH+3P Mira Bhayandar, Maharashtra"
"Samartha Hospital (A Unit Of Sadafal 
Medical Centre Pvt Ltd)",THANE,MAHARASHTRA,3.9,219.0,"7VJF+JQ Mumbai, Maharashtra"
Sapphire Hospitals Pvt Ltd,Thane,MAHARASHTRA,1.0,1.0,"6233+8G Thane, Maharashtra"
"Satya Sai Platinum Hospital (A Unit Of 
Platinum Hospital)",THANE,MAHARASHTRA,4.8,4169.0,"65J5+R2 Ulhasnagar, Maharashtra"
Seema Multispeciality Hospital,Thane,MAHARASHTRA,4.4,173.0,"CRC8+CH Nala Sopara, Maharashtra"
Seven Eleven Hospital,Thane,MAHARASHTRA,3.7,25.0,
"Shah Life Line Hospital And Heart 
Institute Pvt Ltd",Thane,MAHARASHTRA,4.5,1006.0,"7VV4+WC Mumbai, Maharashtra"
Sham Bharati Multi Speciality Hospital,THANE,MAHARASHTRA,4.3,104.0,"7VP9+9Q Mira Bhayandar, Maharashtra"
"Shraddha General Hospital And Icu 
Centre",Thane,MAHARASHTRA,3.7,134.0,"65J7+7G Ulhasnagar, Maharashtra"
Shree Mahaganpati Hospital(Thane),Thane,MAHARASHTRA,4.3,227.0,"76W9+XR Titwala, Maharashtra"
"Shree Siddhivinayak Urology And 
Multispecialty Hospital",Thane,MAHARASHTRA,4.8,1863.0,"6X56+F3 Thane, Maharashtra"
"Siddhivinayak Multispeciality Hospitaland 
Cardic Care Center",THANE,MAHARASHTRA,4.8,1863.0,"6X56+F3 Thane, Maharashtra"
Sparsh Childrens Hospital-Kalyan,THANE,MAHARASHTRA,4.5,507.0,"64HR+6V Kalyan, Maharashtra"
"Sparsh Multispeciality Hospital And 
I.C.C.U",THANE,MAHARASHTRA,3.3,18.0,"6X43+GQ Thane, Maharashtra"
Surekha Criticare Hospital,Thane,MAHARASHTRA,4.0,239.0,"65G8+JG Ulhasnagar, Maharashtra"
Sushrut Hospital Nallasopara,THANE,MAHARASHTRA,4.7,379.0,"CR97+W6 Nala Sopara, Maharashtra"
Varad Hospital And Icu,THANE,MAHARASHTRA,3.0,12.0,"6X2H+W7 Thane, Maharashtra"
"Ved Hospital Super Specialitty And 
Research Center",Thane,MAHARASHTRA,4.8,28.0,"6X4F+X3 Thane, Maharashtra"
"Vedant Hospital A Unit Of Shree 
Vighnaharta Healthcare",THANE,MAHARASHTRA,2.8,121.0,"6X56+HM Thane, Maharashtra"
Vedant Multispeciality Hospital,THANE,MAHARASHTRA,2.8,121.0,"6X56+HM Thane, Maharashtra"
Venus Hospital Multispeciality And Icu,Thane,MAHARASHTRA,3.7,73.0,"637H+QJ Dombivli, Maharashtra"
Vitthal Krupa Hospital,THANE,MAHARASHTRA,4.3,159.0,"64GR+P4 Kalyan, Maharashtra"
Wockhardt Hospitals Ltd,THANE,MAHARASHTRA,4.7,13406.0,"7VM6+PV Mira Bhayandar, Maharashtra"
Global Hospital,THANE,MAHARASHTRA,4.2,61.0,
"Dr Wankhades Fracture and Accident 
Hospital",THANE,MAHARASHTRA,4.5,132.0,"64RW+FR Kalyan, Maharashtra"
Sai Kripa Maternity Hospital,THANE,MAHARASHTRA,5.0,1.0,
Phoenix Hospital and ICU,THANE,MAHARASHTRA,4.4,98.0,"6XGJ+6G Thane, Maharashtra"
Sawant Hospital,THANE,MAHARASHTRA,4.5,78.0,"63CJ+R8 Dombivli West, Dombivli, Maharashtra"
"Shree Maternari Hospital And General 
Hospital",THANE,MAHARASHTRA,5.0,2.0,"52QF+X2 Thane, Maharashtra"
Family Care Hospitals,THANE,MAHARASHTRA,4.3,1221.0,"7VW7+MR Mira Road East, Mira Bhayandar, Maharashtra"
Bijankur Hospital PVT. LTD.,THANE,MAHARASHTRA,3.8,24.0,"538H+PH Nilje Gaon, Maharashtra"
Icon Hospital Pvt Ltd,THANE,MAHARASHTRA,3.9,107.0,"5XR9+72 Thane, Maharashtra"
