Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code
Amrut Hospitaland Research Centre,PUNE,MAHARASHTRA,4.9,280.0,"MWH2+7R Pune, Maharashtra"
Anand Hospital Chakan,PUNE,MAHARASHTRA,4.8,300.0,"QV67+H2 Chakan, Maharashtra"
Anand Hospital (Pune),Pune,MAHARASHTRA,4.8,66.0,"FQJX+9X Pune, Maharashtra"
Ankur Multispeciality Hospital-Pune,PUNE,MAHARASHTRA,4.1,83.0,"GWMR+54 Pune, Maharashtra"
Astha Hospital (Pcmc),PUNE,MAHARASHTRA,4.7,504.0,"MR75+GM Pimpri-Chinchwad, Maharashtra"
Care Multispeciality Hospital,PUNE,MAHARASHTRA,4.4,654.0,"HXJM+GX Pune, Maharashtra"
Chaitanya Superspeciality Hospital,Pune,MAHARASHTRA,4.6,870.0,"JQMQ+MC Pimpri-Chinchwad, Maharashtra"
Chavan Hospital,PUNE,MAHARASHTRA,4.1,290.0,"JRM8+7M Pimpri-Chinchwad, Maharashtra"
Columbia Asia Hospital Pvt Ltd,Pune,MAHARASHTRA,5.0,3.0,
Deenanath Mangeshkar Hospital,PUNE,MAHARASHTRA,3.9,2614.0,"GR2M+P3 Pune, Maharashtra"
Deendayal Memorial Hospital,PUNE,MAHARASHTRA,3.5,72.0,"GRGR+2F Pune, Maharashtra"
Dr Khade Superspeciality Hospital-Pune,PUNE,MAHARASHTRA,4.9,255.0,"QV36+G4 Chakan, Maharashtra"
Golden Care Hospital,Pune,MAHARASHTRA,4.4,672.0,"JP2X+R3 Pimpri-Chinchwad, Maharashtra"
Hardikar Hospital,Pune,MAHARASHTRA,4.5,1060.0,"GRJW+5X Pune, Maharashtra"
Imax Multyspeciality Hospital,Pune,MAHARASHTRA,4.1,850.0,"HXMP+8H Pune, Maharashtra"
Inlaks And Budhrani Hospital,PUNE,MAHARASHTRA,3.8,313.0,
"Jehangir Hospital And Medical Research 
Centre",PUNE,MAHARASHTRA,4.6,9262.0,"GVJG+4M Pune, Maharashtra"
Kedarnath General Hospital,Pune,MAHARASHTRA,4.7,749.0,"HVCH+VF Pune, Maharashtra"
Kem Hospital (Pune),PUNE,MAHARASHTRA,3.7,1287.0,"GV98+XQ Pune, Maharashtra"
Khaire Hospital,PUNE,MAHARASHTRA,4.7,652.0,"JQJM+92 Pimpri-Chinchwad, Maharashtra"
Lifepoint Multispeciality Hospital,Pune,MAHARASHTRA,4.0,1284.0,"HQX4+37 Pimpri-Chinchwad, Maharashtra"
Lokmanya Hospital(Chincwad),PUNE,MAHARASHTRA,4.2,552.0,"JQPR+W4 Pune, Maharashtra"
"Mankikar Hospital For Children And 
Laboratory",PUNE,MAHARASHTRA,3.9,268.0,"JR9X+FR Pimpri-Chinchwad, Maharashtra"
"Maxcare Hospital Multi Speciality And 
Critical Care Centre",PUNE,MAHARASHTRA,3.7,3.0,
Medilife Multispeciality Hospital And Icu,PUNE,MAHARASHTRA,3.0,64.0,
"Metro Multi Speciality Hospital And I.C.U. Saundarya Colony,,Nakhate Wasti, Rahatni Pimpri,,Next To",Pune,MAHARASHTRA,3.0,104.0,"JQ3R+CP Pimpri-Chinchwad, Maharashtra"
Moraya Hospital,Pune,MAHARASHTRA,4.6,1401.0,"FR78+Q4 Pune, Maharashtra"
Navkar Multispeciality Hospital,Pune,MAHARASHTRA,4.8,183.0,"QV28+H5 Chakan, Maharashtra"
New Life Child Care Clinic And Hospital,Pune,MAHARASHTRA,3.0,2.0,
Orchid Speciality Hospital,Pune,MAHARASHTRA,3.9,730.0,"JW25+6V Pune, Maharashtra"
Oyster And Pearl Hospital Pvt Ltd,PUNE,MAHARASHTRA,4.4,1162.0,"GRJW+QW Pune, Maharashtra"
Pawana Hospital,PUNE,MAHARASHTRA,4.7,1238.0,"PM3P+65 Urse, Maharashtra"
Phoenix Hospital(Pune),PUNE,MAHARASHTRA,4.5,1347.0,"JQ3G+VF Pune, Maharashtra"
Pulse Multispeciality Hospital,Pune,MAHARASHTRA,4.0,83.0,"JQH3+9J Pune, Maharashtra"
Sahyadri Hospital (Bopodi),PUNE,MAHARASHTRA,3.6,24.0,"HRCQ+85 Pune, Maharashtra"
Sahyadri Hospital (Hadapsar),PUNE,MAHARASHTRA,4.7,9141.0,"GW3J+4V Pune, Maharashtra"
Sahyadri Hospital Kothrud,PUNE,MAHARASHTRA,4.0,742.0,"GR54+28 Pune, Maharashtra"
"Sahyadri Speciality Hospital (Karve Road) Plot No. 30 C, Lane No. 1, Erandawane,,Prabhat Road, Nr.",PUNE,MAHARASHTRA,4.6,11071.0,"GR7Q+6P Pune, Maharashtra"
"Sahyadri Speciality Hospital (Nagar 
Road)",PUNE,MAHARASHTRA,4.6,9087.0,"HV3W+MR Pune, Maharashtra"
Sainath Hospital,PUNE,MAHARASHTRA,4.5,1403.0,"MR3X+R9 Pimpri-Chinchwad, Maharashtra"
Saiseva Hospital,Pune,MAHARASHTRA,5.0,2.0,
"Sant Dnyaneshwar Hospital (A Unit Of 
Sant Dnyaneshwar Medical Foundation)",Pune,MAHARASHTRA,3.0,2.0,"JR9X+9V Pune, Maharashtra"
"Sathe Hospital( A Division Of Harmony 
Health Services Pvt Ltd)",PUNE,MAHARASHTRA,4.6,142.0,"GR8R+2Q Pune, Maharashtra"
"Shaishav Childrens Hospital And 
Research Center Pvt Ltd",PUNE,MAHARASHTRA,3.9,96.0,"GR7X+G3 Pune, Maharashtra"
Shivkrupa Multispeciality Hospital,Pune,MAHARASHTRA,2.5,2.0,
"Shree Hospital Criticare And Traume 
Center Pvt Ltd",Pune,MAHARASHTRA,3.3,414.0,"HW2R+HF Pune, Maharashtra"
Shwas Multispeciality Hospital,Pune,MAHARASHTRA,4.3,57.0,"CRWP+PX Pune, Maharashtra"
Surya Sahyadri Hospital,PUNE,MAHARASHTRA,4.3,530.0,"GVC4+H9 Pune, Maharashtra"
Tulip Hospitals Pvt Ltd,Pune,MAHARASHTRA,5.0,36.0,"MRHW+HR Moshi, Pimpri-Chinchwad, Maharashtra"
Unique Multispeciality Hospital,Pune,MAHARASHTRA,4.4,51.0,"GP2R+FQ Pune, Maharashtra"
Vighnaharta Hospital(Pune),PUNE,MAHARASHTRA,3.9,81.0,"CRVC+XV Dhayari Phata, Pune, Maharashtra"
Vinod Memorial Multispeciality Hospital.,PUNE,MAHARASHTRA,3.1,189.0,"HVFH+72 Pune, Maharashtra"
Nawale Hospital,PUNE,MAHARASHTRA,3.7,39.0,"HXJJ+5G Pune, Maharashtra"
Sankalp Multispecialty Hospital,PUNE,MAHARASHTRA,5.0,4.0,"JQ3J+RF Pimpri-Chinchwad, Maharashtra"
Ayushri Multispecialty Hospital,PUNE,MAHARASHTRA,4.8,392.0,"JR62+76 Pune, Maharashtra"
"Dr DY Patil Medical College, Hospital and 
Research Centre",PUNE,MAHARASHTRA,4.2,2673.0,"JRFC+MF Pimpri-Chinchwad, Maharashtra"
Jupiter Life Line Hospitals,PUNE,MAHARASHTRA,4.6,9469.0,"HQ8P+79 Pune, Maharashtra"
Vishwaraj Hospital,PUNE,MAHARASHTRA,4.6,17.0,"GR59+3W Pune, Maharashtra"
Ashtvinayak Hospital,PUNE,MAHARASHTRA,5.0,161.0,"HW8X+MV Pune, Maharashtra"
"Chellaram Hospital Diabetes Care And 
Multispecialty",PUNE,MAHARASHTRA,4.1,566.0,"GQ9C+R2 Pune, Maharashtra"
"Apollo Spectra Hospital A Unit Of Apollo 
Specialty Hospital",PUNE,MAHARASHTRA,4.6,3498.0,
Citi Care Hospital Pimpri,PUNE,MAHARASHTRA,4.4,245.0,"JRG2+4Q Pimpri-Chinchwad, Maharashtra"
Jivan Rekha Multispeciality Hospital,PUNE,MAHARASHTRA,4.4,292.0,"MPHJ+QR Dehu Road, Maharashtra"
Sarvadnya Hospital,PUNE,MAHARASHTRA,4.6,30.0,"MRHX+P4 Pimpri-Chinchwad, Maharashtra"
Apple Hospital,PUNE,MAHARASHTRA,4.5,535.0,"HQQJ+C3 Pimpri-Chinchwad, Maharashtra"
Avan Multispeciality Hospital,PUNE,MAHARASHTRA,3.6,12.0,"CQVJ+56 Pune, Maharashtra"
Ayush Multispeciality Hospital,PUNE,MAHARASHTRA,4.3,121.0,"JRHC+W7 Pimpri-Chinchwad, Maharashtra"
Oyster And Pearl Hospital Pvt Ltd,PUNE,MAHARASHTRA,4.4,1162.0,"GRJW+QW Pune, Maharashtra"
Nucare Hospital,PUNE,MAHARASHTRA,3.3,71.0,"HQ7J+MM Pune, Maharashtra"
Yashorahi Multispeciality Hospital,PUNE,MAHARASHTRA,3.4,35.0,"FQ9M+6V Pune, Maharashtra"
Apex Hospital,PUNE,MAHARASHTRA,4.3,81.0,"JQ3G+Q5 Pune, Maharashtra"
Shri Siddhivinayak Criticare Hospital,PUNE,MAHARASHTRA,4.8,302.0,"FR58+3P Pune, Maharashtra"
Jeevan Rakshak Hospital,PUNE,MAHARASHTRA,3.8,98.0,"HXC3+VR Pune, Maharashtra"
Panortho Multispeciality Hospital,PUNE,MAHARASHTRA,2.3,3.0,"MQ49+G6 Nigdi, Pimpri-Chinchwad, Maharashtra"
Deoyani Multispeciality Hospital,PUNE,MAHARASHTRA,4.0,339.0,"FRW7+92 Pune, Maharashtra"
Ashtavinayak Hospital,PUNE,MAHARASHTRA,,,
Niramaya Hospital Pvt Ltd,PUNE,MAHARASHTRA,3.5,361.0,
Global Hospital And Research Institute,PUNE,MAHARASHTRA,4.2,476.0,"GR2R+GC Pune, Maharashtra"
Unique Childrens Hospital Pvt Ltd,PUNE,MAHARASHTRA,3.0,150.0,"JQQV+GP Chinchwad, Pimpri-Chinchwad, Maharashtra"
"Saishree Hospital and Joint Replacement 
Centre",PUNE,MAHARASHTRA,4.8,3303.0,"HR64+33 Pune, Maharashtra"
Icon Hospital,PUNE,MAHARASHTRA,3.7,197.0,"MQCP+PX Talwade, Pimpri-Chinchwad, Maharashtra"
Sparsh Hospital Pune,PUNE,MAHARASHTRA,4.5,476.0,"PM3M+JQ Somatane, Maharashtra"
Jaihind Hospital,PUNE,MAHARASHTRA,4.9,45.0,"FW28+7R Pune, Maharashtra"
Moraya Multispeciality Hospital,PUNE,MAHARASHTRA,4.6,1401.0,"FR78+Q4 Pune, Maharashtra"
Mhatre Accident Hospital,RAIGAD,MAHARASHTRA,3.4,99.0,"X4R7+HH Navi Mumbai, Maharashtra"
Dandekar Hospital Panvel,RAIGAD,MAHARASHTRA,3.8,100.0,"X4R7+83 Navi Mumbai, Maharashtra"
Shelar Hospital & ICU,RAIGAD,MAHARASHTRA,4.0,341.0,"2455+MH Navi Mumbai, Maharashtra"
Sukham Hospital,RAIGAD,MAHARASHTRA,4.5,186.0,"X4J8+84 Navi Mumbai, Maharashtra"
Chirayu Children Hospital,RAIGAD,MAHARASHTRA,3.9,92.0,"2446+GR Navi Mumbai, Maharashtra"
Gandhi Hospital Panvel,RAIGAD,MAHARASHTRA,3.4,245.0,"X4P8+W6 Navi Mumbai, Maharashtra"
"Lifecare Multispeciality Hospital And 
Nursing Home",RAIGAD,MAHARASHTRA,4.3,128.0,"X4PJ+F2 Navi Mumbai, Maharashtra"
Sparsh Superspeciality Hospital,RAIGAD,MAHARASHTRA,4.5,203.0,"X4R8+V3 Navi Mumbai, Maharashtra"
Veer Hospital And Icu,RAIGAD,MAHARASHTRA,4.2,181.0,"2446+GQ Navi Mumbai, Maharashtra"
Mathoshree Multispeciality Hospital,RAIGAD,MAHARASHTRA,4.8,149.0,"X4R7+WR Navi Mumbai, Maharashtra"
"Prachin Healthcare Multispeciality 
Hospital",RAIGAD,MAHARASHTRA,4.6,761.0,"X4X5+39 Panvel, Navi Mumbai, Maharashtra"
Om Hospital Cardiac Medical Centre,THANE,MAHARASHTRA,4.2,127.0,"637P+JP Dombivli, Maharashtra"
Jupiter Life Line Hospitals Ltd,THANE,MAHARASHTRA,4.6,14294.0,"6X5C+VX Thane, Maharashtra"
Dandekar Hospital ( Dombivili ),THANE,MAHARASHTRA,3.8,118.0,"638R+34 Dombivli, Maharashtra"
Tanwar Hospital,THANE,MAHARASHTRA,3.9,101.0,"7VV7+G2 Thane, Maharashtra"
Mahesh Hospital,Thane,MAHARASHTRA,4.2,61.0,"64FP+X3 Kalyan, Maharashtra"
Kalpana Lifeline Hospital,THANE,MAHARASHTRA,4.8,107.0,"6X2F+J8 Thane, Maharashtra"
"Pranjali Maternity Surgical And General 
Hospital",THANE,MAHARASHTRA,3.7,35.0,
Orthocare Hospital,Thane,MAHARASHTRA,4.9,13.0,"6X3C+J6 Thane, Maharashtra"
"Ashirwad Maternity And General 
Hospital, Bhayndar",THANE,MAHARASHTRA,3.8,261.0,"8V73+QG Mira Bhayandar, Maharashtra"
Ishwar Criticare Hospital LLP,THANE,MAHARASHTRA,3.0,23.0,"6X66+4H Thane, Maharashtra"
Riddhi Vinayak Multispeciality Hospital,THANE,MAHARASHTRA,4.1,1131.0,"CRP6+GF Nalasopara West, Nala Sopara, Maharashtra"
Chirayu Superspeciality Hospital,THANE,MAHARASHTRA,4.3,317.0,"7VW6+76 Mira Bhayandar, Maharashtra"
Sai Hospital And Icu,THANE,MAHARASHTRA,4.1,356.0,"53FM+CR Dombivli, Maharashtra"
Shree Ashirwad Hospital,THANE,MAHARASHTRA,4.7,424.0,"568W+95 Badlapur, Maharashtra"
Om Hospital And Polyclinic ( Dombivili ),THANE,MAHARASHTRA,4.2,127.0,"637P+JP Dombivli, Maharashtra"
Aashirwad Hospital (Kalyan),Thane,MAHARASHTRA,3.5,107.0,"64FJ+WH Kalyan, Maharashtra"
"Kaushalya Medical Foundation Trust 
Hospital",THANE,MAHARASHTRA,4.3,967.0,"6X28+3J Thane, Maharashtra"
Kalsekar Hospital,THANE,MAHARASHTRA,2.4,29.0,
Phadke Hospital,THANE,MAHARASHTRA,3.4,81.0,"64VF+J2 Kalyan, Maharashtra"
Sahil Hospital,THANE,MAHARASHTRA,3.2,34.0,"6X3C+5P Thane, Maharashtra"
Shreedevi Hospital,Thane,MAHARASHTRA,4.4,737.0,"64PG+CW Mumbai, Maharashtra"
Prakruti Hospital (Thane),THANE,MAHARASHTRA,3.5,132.0,"5XXR+MH Thane, Maharashtra"
Kevalya Hospital,Thane,MAHARASHTRA,4.0,335.0,"7X6F+M4 Thane, Maharashtra"
Thunga Hospital Pvt Ltd,THANE,MAHARASHTRA,4.3,2658.0,"7VR6+WX Mira Bhayandar, Maharashtra"
"Orbit Super Speciality Hospital And 
Accident Centre",THANE,MAHARASHTRA,4.5,229.0,"7V9H+HH Mumbai, Maharashtra"
Dr Thakurs Shree Hospital,THANE,MAHARASHTRA,3.3,4.0,"5WQW+Q7 Thane, Maharashtra"
Dhanvantari Hospital (Thane),THANE,MAHARASHTRA,3.8,78.0,"7XF6+9V Thane, Maharashtra"
"Vijay Vallabh Hospital And Medical 
Research Centre",THANE,MAHARASHTRA,3.5,264.0,
"Vijayalaxmi Maternity, Surgical & General 
Hospital",THANE,MAHARASHTRA,4.6,534.0,"CRHC+3H Nalasopara East, Nala Sopara, Maharashtra"
Bethany Hospital (Thane),THANE,MAHARASHTRA,3.4,901.0,"6X96+XP Thane, Maharashtra"
Sai Aashirwad Hospital,THANE,MAHARASHTRA,4.2,61.0,"7VP7+GC Thane, Maharashtra"
"Siddhivinayak Maternity And General 
Hospital",THANE,MAHARASHTRA,4.8,1863.0,"6X56+F3 Thane, Maharashtra"
